"PointID","x","y","Pressure","Velocity_x","Velocity_y","Enthalpy","Turb_Kin_Energy","Omega","Species_0","Species_1"
98, 4.345740992966986e-02, 0.000000000000000e+00, 2.423674814157103e+00, 1.184616443384894e+00, 0.000000000000000e+00, 3.014109000000001e+05, 4.284900621015879e-03, 2.702134233299054e+01, 4.996120105435397e-01, 4.992512962746526e-01
99, 4.303886363164897e-02, 0.000000000000000e+00, 2.433362528453828e+00, 1.176352087872700e+00, 0.000000000000000e+00, 3.014109000000000e+05, 4.218448660969125e-03, 2.673063534646393e+01, 4.996194692768637e-01, 4.993163740866751e-01
100, 4.257381221071960e-02, 0.000000000000000e+00, 2.443390658826611e+00, 1.167726734576289e+00, 0.000000000000000e+00, 3.014109000000000e+05, 4.145993627099776e-03, 2.644360828720689e+01, 4.996272090758141e-01, 4.993769710419120e-01
101, 4.205708839806965e-02, 0.000000000000000e+00, 2.453694675131061e+00, 1.158788926418316e+00, 0.000000000000000e+00, 3.014108999999998e+05, 4.067102653215538e-03, 2.616448908934801e+01, 4.996354418247824e-01, 4.994328646806287e-01
102, 4.148295081380234e-02, 0.000000000000000e+00, 2.464200592690456e+00, 1.149600446700590e+00, 0.000000000000000e+00, 3.014109000000000e+05, 3.989531815550233e-03, 2.589775324170832e+01, 4.996443778883672e-01, 4.994839459724821e-01
103, 4.084502016028490e-02, 0.000000000000000e+00, 2.474819989863919e+00, 1.140236228409733e+00, 0.000000000000000e+00, 3.014109000000000e+05, 3.916638117987162e-03, 2.564790658914331e+01, 4.996541939119528e-01, 4.995302156357160e-01
104, 4.013620833065643e-02, 0.000000000000000e+00, 2.485449841465767e+00, 1.130783014797430e+00, 0.000000000000000e+00, 3.014109000000000e+05, 3.849937133283365e-03, 2.541920827946697e+01, 4.996650282326263e-01, 4.995718064885363e-01
105, 3.934863965505814e-02, 0.000000000000000e+00, 2.495978053191392e+00, 1.121337621798481e+00, 0.000000000000000e+00, 3.014109000000001e+05, 3.790394149861894e-03, 2.521543617681716e+01, 4.996770096600300e-01, 4.996090222942909e-01
106, 3.847356335476015e-02, 0.000000000000000e+00, 2.506288252372790e+00, 1.112003634022433e+00, 0.000000000000000e+00, 3.014108999999999e+05, 3.738674800681685e-03, 2.503964727149355e+01, 4.996902713086003e-01, 4.996423467980523e-01
107, 3.750125632666523e-02, 0.000000000000000e+00, 2.516265529404780e+00, 1.102886656354757e+00, 0.000000000000000e+00, 3.014108999999999e+05, 3.695162418489586e-03, 2.489396043516258e+01, 4.997049703343231e-01, 4.996724433611752e-01
108, 3.642091520018979e-02, 0.000000000000000e+00, 2.525803276610836e+00, 1.094088146491243e+00, 0.000000000000000e+00, 3.014108999999999e+05, 3.659943029258813e-03, 2.477940660193891e+01, 4.997213109750325e-01, 4.997001424014054e-01
109, 3.522053619186313e-02, 0.000000000000000e+00, 2.534810960413759e+00, 1.085697984811651e+00, 0.000000000000000e+00, 3.014108999999999e+05, 3.632806592222280e-03, 2.469588297617826e+01, 4.997395666882055e-01, 4.997264147564804e-01
110, 3.388678174794400e-02, 0.000000000000000e+00, 2.543222439831889e+00, 1.077786107983766e+00, 0.000000000000000e+00, 3.014109000000000e+05, 3.613276313148423e-03, 2.464223264548295e+01, 4.997600966012434e-01, 4.997523318151829e-01
