"PointID","x","y","z","Pressure","Velocity_x","Velocity_y","Velocity_z","Turb_Kin_Energy","Omega"
106, 3.983436843625091e-02, 3.342500386303822e-02, 0.000000000000000e+00, 4.071661866071047e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 3.179137301363043e+04
107, 4.259596767605271e-02, 2.982601766410955e-02, 0.000000000000000e+00, 3.987476085277306e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.505375535236927e+04
108, 4.503338588169125e-02, 2.600003746131519e-02, 0.000000000000000e+00, 3.912567392457464e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.087880671329524e+04
109, 4.712807282886831e-02, 2.197618127418835e-02, 0.000000000000000e+00, 3.848229208059318e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.824606428653141e+04
110, 4.886408668510928e-02, 1.778507307798392e-02, 0.000000000000000e+00, 3.794710565123653e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.663213175438207e+04
111, 5.022821533673436e-02, 1.345860973673527e-02, 0.000000000000000e+00, 3.752042646747707e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.576241063954838e+04
112, 5.121007694102127e-02, 9.029718248859359e-03, 0.000000000000000e+00, 3.720357318308817e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.550412061391488e+04
113, 5.180219893829715e-02, 4.532105152816684e-03, 0.000000000000000e+00, 3.699925982762363e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.582132539552406e+04
114, -3.773273444249092e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.703378529679964e+01, 3.636618462836309e-01, -8.775973424516222e-16, 8.279886140990259e+00, 1.141858718173292e+00, 5.935423834585117e+02
115, -3.992325620455794e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.729160058113792e+01, 3.181111562070135e-01, 0.000000000000000e+00, 7.767398321642104e+00, 1.282969701347968e+00, 7.143512686749636e+02
116, -4.189472578534748e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.749599921495338e+01, 2.745396936557097e-01, 0.000000000000000e+00, 7.241357725586240e+00, 1.395803461553091e+00, 8.434849113090507e+02
